Date,AAPL,MSFT
2024-01-08,184.66,372.65
2024-01-09,184.24,373.75
2024-01-10,185.28,380.69
2024-01-11,184.69,382.54
2024-01-12,185.01,386.36
2024-01-16,182.73,388.15
2024-01-17,181.79,387.35
2024-01-18,187.71,391.73
2024-01-19,190.63,396.5
2024-01-22,192.94,394.35
2024-01-23,194.23,396.73
2024-01-24,193.55,400.37
2024-01-25,193.22,402.67
2024-01-26,191.48,401.73
2024-01-29,190.8,407.49
2024-01-30,187.12,406.37
2024-01-31,183.5,395.42
2024-02-01,185.95,401.59
2024-02-02,184.94,408.98
2024-02-05,186.77,403.45
2024-02-06,188.38,403.29
2024-02-07,188.49,411.8
2024-02-08,187.4,411.86
2024-02-09,188.17,418.26
2024-02-12,186.48,413.0
2024-02-13,184.37,404.11
2024-02-14,183.49,408.02
2024-02-15,183.2,405.1
2024-02-16,181.65,402.61
2024-02-20,180.91,401.34
2024-02-21,181.66,400.73
2024-02-22,183.71,410.17
2024-02-23,181.86,408.86
2024-02-26,180.51,406.07
2024-02-27,181.97,406.01
2024-02-28,180.77,406.25
2024-02-29,180.1,412.15
2024-03-01,179.01,414.01
2024-03-04,174.47,413.43
2024-03-05,169.51,401.2
2024-03-06,168.51,400.64
2024-03-07,168.39,407.67
2024-03-08,170.11,404.76
2024-03-11,172.13,403.07
2024-03-12,172.61,413.79
2024-03-13,170.51,413.61
2024-03-14,172.38,423.69
2024-03-15,172.0,414.92
2024-03-18,173.09,415.82
2024-03-19,175.45,419.89
2024-03-20,178.03,423.7
2024-03-21,170.75,427.83
2024-03-22,171.66,427.2
2024-03-25,170.23,421.34
2024-03-26,169.1,420.13
2024-03-27,172.69,419.91
2024-03-28,170.86,419.21
2024-04-01,169.42,423.04
2024-04-02,168.23,419.92
2024-04-03,169.04,418.94
2024-04-04,168.21,416.38
2024-04-05,168.97,423.99
2024-04-08,167.84,423.06
2024-04-09,169.06,424.75
2024-04-10,167.18,421.74
2024-04-11,174.41,426.39
2024-04-12,175.91,420.38
2024-04-15,172.07,412.15
2024-04-16,168.77,413.09
2024-04-17,167.39,410.36
2024-04-18,166.44,402.82
2024-04-19,164.41,397.68
2024-04-22,165.24,399.52
2024-04-23,166.3,406.1
2024-04-24,168.41,407.59
2024-04-25,169.28,397.6
2024-04-26,168.69,404.86
2024-04-29,172.87,400.8
2024-04-30,169.72,387.93
2024-05-01,168.69,393.52
2024-05-02,172.41,396.41
2024-05-03,182.72,405.2
2024-05-06,181.05,412.05
2024-05-07,181.74,407.87
2024-05-08,182.08,409.06
2024-05-09,183.9,410.84
2024-05-10,182.64,413.25
2024-05-13,185.86,412.23
2024-05-14,187.01,415.06
2024-05-15,189.29,422.32
2024-05-16,189.41,420.23
2024-05-17,189.44,419.45
2024-05-20,190.61,424.57
2024-05-21,191.92,428.27
2024-05-22,190.47,429.75
2024-05-23,186.46,426.23
2024-05-24,189.55,429.39
2024-05-28,189.56,429.55
2024-05-29,189.86,428.4
2024-05-30,190.86,413.92
2024-05-31,191.82,414.38
2024-06-03,193.59,412.78
2024-06-04,193.91,415.32
2024-06-05,195.43,423.25
2024-06-06,194.04,423.76
2024-06-07,196.45,423.09
2024-06-10,192.68,427.1
2024-06-11,206.68,431.9
2024-06-12,212.59,440.27
2024-06-13,213.76,440.79
2024-06-14,212.01,441.77
2024-06-17,216.18,447.56
2024-06-18,213.81,445.54
2024-06-20,209.21,444.9
2024-06-21,207.02,448.97
2024-06-24,207.67,446.86
2024-06-25,208.6,450.14
2024-06-26,212.77,451.35
2024-06-27,213.62,452.04
2024-06-28,210.15,446.15
2024-07-01,216.26,455.91
2024-07-02,219.77,458.45
2024-07-03,221.05,459.94
2024-07-05,225.83,466.72
2024-07-08,227.31,465.4
2024-07-09,228.16,458.71
2024-07-10,232.45,465.41
2024-07-11,227.06,453.88
2024-07-12,230.02,452.73
2024-07-15,233.87,453.14
2024-07-16,234.29,448.71
2024-07-17,228.36,442.72
2024-07-18,223.67,439.58
2024-07-19,223.8,436.32
2024-07-22,223.46,442.14
2024-07-23,224.5,444.05
2024-07-24,218.05,428.13
2024-07-25,217.0,417.65
2024-07-26,217.47,424.5
2024-07-29,217.75,425.96
2024-07-30,218.31,422.16
2024-07-31,221.58,417.6
2024-08-01,217.87,416.36
2024-08-02,219.36,407.76
2024-08-05,208.8,394.44
2024-08-06,206.76,398.89
2024-08-07,209.35,397.71
2024-08-08,212.83,401.97
2024-08-09,215.75,405.29
2024-08-12,217.29,406.08
2024-08-13,221.03,413.27
2024-08-14,221.48,416.11
2024-08-15,224.47,421.03
2024-08-16,225.8,418.47
2024-08-19,225.64,421.53
2024-08-20,226.26,424.8
2024-08-21,226.15,424.14
2024-08-22,224.28,415.55
2024-08-23,226.59,416.79
2024-08-26,226.93,413.49
2024-08-27,227.78,413.84
2024-08-28,226.24,410.6
2024-08-29,229.54,413.12
2024-08-30,228.75,417.14
2024-09-03,222.53,409.44
2024-09-04,220.61,408.9
2024-09-05,222.14,408.39
2024-09-06,220.58,401.7
2024-09-09,220.67,405.72
2024-09-10,219.87,414.2
2024-09-11,222.42,423.04
2024-09-12,222.53,427.0
2024-09-13,222.26,430.59
2024-09-16,216.08,431.34
2024-09-17,216.55,435.15
2024-09-18,220.45,430.81
2024-09-19,228.62,438.69
2024-09-20,227.95,435.27
2024-09-23,226.22,433.51
2024-09-24,227.12,429.17
2024-09-25,226.12,432.11
2024-09-26,227.27,431.31
2024-09-27,227.54,428.02
2024-09-30,232.74,430.3
2024-10-01,225.96,420.69
2024-10-02,226.53,417.13
2024-10-03,225.42,416.54
2024-10-04,226.55,416.06
2024-10-07,221.45,409.54
2024-10-08,225.52,414.71
2024-10-09,229.29,417.46
2024-10-10,228.79,415.84
2024-10-11,227.3,416.32
2024-10-14,231.05,419.14
2024-10-15,233.59,418.74
2024-10-16,231.53,416.12
2024-10-17,231.89,416.72
2024-10-18,234.74,418.16
2024-10-21,236.22,418.78
2024-10-22,235.6,427.51
2024-10-23,230.51,424.6
2024-10-24,230.32,424.73
2024-10-25,231.16,428.15
2024-10-28,233.14,426.59
2024-10-29,233.41,431.95
2024-10-30,229.85,432.53
2024-10-31,225.66,406.35
2024-11-01,222.67,410.37
2024-11-04,221.77,408.46
2024-11-05,223.2,411.46
2024-11-06,222.48,420.18
2024-11-07,227.23,425.43
2024-11-08,226.96,422.54
2024-11-11,224.23,418.01
2024-11-12,224.23,423.03
2024-11-13,225.12,425.2
2024-11-14,228.22,426.89
2024-11-15,225.0,415.0
2024-11-18,228.02,415.76
2024-11-19,228.28,417.79
2024-11-20,229.0,415.49
2024-11-21,228.52,412.87
2024-11-22,229.87,417.0
2024-11-25,232.87,418.79
2024-11-26,235.06,427.99
2024-11-27,234.93,422.99
2024-11-29,237.33,423.46
2024-12-02,239.59,430.98
2024-12-03,242.65,431.2
2024-12-04,243.01,437.42
2024-12-05,243.04,442.62
2024-12-06,242.84,443.57
2024-12-09,246.75,446.02
2024-12-10,247.77,443.33
2024-12-11,246.49,448.99
2024-12-12,247.96,449.56
2024-12-13,248.13,447.27
2024-12-16,251.04,451.59
2024-12-17,253.48,454.46
2024-12-18,248.05,437.39
2024-12-19,249.79,437.03
2024-12-20,254.49,436.6
2024-12-23,255.27,435.25
2024-12-24,258.2,439.33
2024-12-26,259.02,438.11
2024-12-27,255.59,430.53
2024-12-30,252.2,424.83
2024-12-31,250.42,421.5
2025-01-02,243.85,418.58
2025-01-03,243.36,423.35
